lid,longitude,latitude,altitude,admin1,admin2,admin3,admin4,work,shopping,school,other,college,religion,designation,home,total_visits,total_on_day_0,total_on_day_1,total_on_day_2,total_on_day_3,total_on_day_4,total_on_day_5,total_on_day_6,average_daily_total,median_daily_total,max_daily_total,max_simultaneous_visits,old_lid
23,-78.44570999999998,38.12523,-1,51,3,10300,3,1,3885.0,0,1,0,0,none:retail,0,1.0,0,0,0,0,1,0,0,0.1428571428571428,0,1,1,85
24,-78.44336,38.12733,-1,51,3,10300,3,1,1196.0,0,1,0,0,none:retail,0,1.0,0,0,0,0,0,1,0,0.1428571428571428,0,1,1,113
25,-78.4416,38.12882000000001,-1,51,3,10300,3,1,3679.0,0,1,0,0,none:retail,0,2.0,0,0,1,0,0,0,1,0.2857142857142857,0,1,1,145
26,-78.43181,38.14431,-1,51,3,10300,3,1,3242.0,0,1,0,0,none:retail,0,1.0,0,0,0,1,0,0,0,0.1428571428571428,0,1,1,171
27,-78.44335,38.12735,-1,51,3,10300,3,1,1196.0,0,1,0,0,none:retail,0,1.0,0,1,0,0,0,0,0,0.1428571428571428,0,1,1,186
28,-78.4435599999999,38.13122,-1,51,3,10300,3,245,0.0,0,245,0,0,none:care_facilitation,0,1.0,0,0,1,0,0,0,0,0.1428571428571428,0,1,1,285
29,-78.43911,38.1488400000001,-1,51,3,10300,3,482,0.0,0,482,0,0,none:medical,0,1.0,0,0,1,0,0,0,0,0.1428571428571428,0,1,1,295
30,-78.44503,38.12584,-1,51,3,10300,3,2590,0.0,0,2590,0,0,none:medical,0,3.0,0,0,1,1,0,0,1,0.4285714285714285,0,1,1,349
31,-78.4417099999999,38.13435,-1,51,3,10300,3,320,0.0,0,320,0,0,none:medical,0,1.0,0,0,0,1,0,0,0,0.1428571428571428,0,1,1,450
32,-78.4435599999999,38.13122,-1,51,3,10300,3,245,0.0,0,245,0,0,none:care_facilitation,0,1.0,0,1,0,0,0,0,0,0.1428571428571428,0,1,1,520
33,-78.3656,38.01487,-1,51,3,10401,3,810,0.0,0,810,0,0,none:medical,0,1.0,0,0,1,0,0,0,0,0.1428571428571428,0,1,1,356
34,-78.4592,38.02103,-1,51,3,10402,1,1,568.0,0,1,0,0,none:retail,0,1.0,0,0,0,0,0,0,1,0.1428571428571428,0,1,1,100
35,-78.45047,38.03374,-1,51,3,10500,2,1,641.0,0,1,0,0,none:retail,0,1.0,0,1,0,0,0,0,0,0.1428571428571428,0,1,1,164
36,-78.44255,38.0309,-1,51,3,10500,2,1,770.0,0,1,0,0,none:retail,0,3.0,0,0,0,1,1,1,0,0.4285714285714285,0,1,2,183
37,-78.44937,38.03332,-1,51,3,10500,3,1,1512.0,0,1,0,0,none:retail,0,1.0,0,0,0,0,0,1,0,0.1428571428571428,0,1,1,47
38,-78.45876,38.03152,-1,51,3,10500,3,1,3252.0,0,1,0,0,none:retail,0,1.0,0,0,0,0,0,1,0,0.1428571428571428,0,1,1,52
39,-78.45819,38.03095,-1,51,3,10500,3,1,3252.0,0,1,0,0,none:retail,0,1.0,0,0,0,0,1,0,0,0.1428571428571428,0,1,1,63
40,-78.45644,38.03179,-1,51,3,10500,3,1,1218.0,0,1,0,0,none:retail,0,2.0,0,0,0,0,0,2,0,0.2857142857142857,0,2,1,119
41,-78.4403399999999,38.0215400000001,-1,51,3,10500,3,31,0.0,0,31,0,0,none:medical,0,1.0,0,0,0,0,0,1,0,0.1428571428571428,0,1,1,469
42,-78.458,38.0324200000001,-1,51,3,10500,3,469,0.0,0,469,0,0,none:medical,0,1.0,0,0,0,1,0,0,0,0.1428571428571428,0,1,1,474
43,-78.45526,38.0319500000001,-1,51,3,10500,3,144,0.0,0,144,0,0,none:medical,0,1.0,0,1,0,0,0,0,0,0.1428571428571428,0,1,1,480
44,-78.44051,38.02277,-1,51,3,10500,3,415,0.0,0,415,0,0,none:medical,0,1.0,0,0,0,0,1,0,0,0.1428571428571428,0,1,1,481
45,-78.44051,38.02277,-1,51,3,10500,3,415,0.0,0,415,0,0,none:medical,0,1.0,0,0,0,0,0,0,1,0.1428571428571428,0,1,1,484
46,-78.4580099999999,38.03241,-1,51,3,10500,3,469,0.0,0,469,0,0,none:medical,0,1.0,1,0,0,0,0,0,0,0.1428571428571428,0,1,1,514
47,-78.44981,38.02759,-1,51,3,10500,3,400,0.0,0,400,0,0,none:care_facilitation,0,1.0,0,1,0,0,0,0,0,0.1428571428571428,0,1,1,533
48,-78.45687,38.03153,-1,51,3,10500,3,852,0.0,0,852,0,0,none:medical,0,1.0,0,0,0,0,1,0,0,0.1428571428571428,0,1,1,537
49,-78.46188000000002,38.09953,-1,51,3,10601,1,1,551.0,0,1,0,0,none:retail,0,1.0,0,0,0,1,0,0,0,0.1428571428571428,0,1,1,23
50,-78.46797,38.09028,-1,51,3,10601,1,1,65.0,0,1,0,0,none:retail,0,1.0,0,0,0,0,0,0,1,0.1428571428571428,0,1,1,103
51,-78.46996999999998,38.08826,-1,51,3,10601,1,341,0.0,0,341,0,0,none:medical,0,3.0,0,0,0,0,3,0,0,0.4285714285714285,0,3,1,532
52,-78.47208,38.07881,-1,51,3,10601,2,1,2167.0,0,1,0,0,none:retail,0,1.0,0,0,1,0,0,0,0,0.1428571428571428,0,1,1,64
53,-78.47219,38.07899000000001,-1,51,3,10601,2,1,2167.0,0,1,0,0,none:retail,0,1.0,1,0,0,0,0,0,0,0.1428571428571428,0,1,1,112
54,-78.47236,38.07927,-1,51,3,10601,2,1,2167.0,0,1,0,0,none:retail,0,1.0,1,0,0,0,0,0,0,0.1428571428571428,0,1,1,239
55,-78.45478,38.08403,-1,51,3,10601,2,2671,0.0,0,2671,0,0,none:medical,0,1.0,0,0,0,0,0,1,0,0.1428571428571428,0,1,1,296
56,-78.45262,38.0889300000001,-1,51,3,10601,2,2671,0.0,0,2671,0,0,none:medical,0,2.0,0,0,0,1,0,0,1,0.2857142857142857,0,1,2,303
57,-78.47228,38.0807300000001,-1,51,3,10601,2,400,0.0,0,400,0,0,none:medical,0,1.0,0,0,0,1,0,0,0,0.1428571428571428,0,1,1,346
58,-78.4722399999999,38.0808500000001,-1,51,3,10601,2,400,0.0,0,400,0,0,none:government,0,2.0,0,0,0,0,0,2,0,0.2857142857142857,0,2,1,377
59,-78.4716,38.0819900000001,-1,51,3,10601,2,400,0.0,0,400,0,0,none:medical,0,1.0,0,0,0,1,0,0,0,0.1428571428571428,0,1,1,462
60,-78.4722399999999,38.0808400000001,-1,51,3,10601,2,400,0.0,0,400,0,0,none:medical,0,1.0,0,0,1,0,0,0,0,0.1428571428571428,0,1,1,531
61,-78.47423,38.0786,-1,51,3,10601,3,1,2167.0,0,1,0,0,none:retail,0,1.0,0,0,0,0,1,0,0,0.1428571428571428,0,1,1,13
62,-78.48486,38.06933,-1,51,3,10601,3,1,1367.0,0,1,0,0,none:retail,0,1.0,0,0,0,0,0,0,1,0.1428571428571428,0,1,1,70
63,-78.47229,38.07906,-1,51,3,10601,3,1,2167.0,0,1,0,0,none:retail,0,1.0,0,0,0,0,0,0,1,0.1428571428571428,0,1,1,86
64,-78.47245,38.07935,-1,51,3,10601,3,1,2167.0,0,1,0,0,none:retail,0,2.0,1,0,0,0,0,0,1,0.2857142857142857,0,1,2,105
65,-78.47528,38.07906,-1,51,3,10601,3,1,2167.0,0,1,0,0,none:retail,0,1.0,0,0,0,0,1,0,0,0.1428571428571428,0,1,1,165
66,-78.48418000000002,38.0701,-1,51,3,10601,3,1,152.0,0,1,0,0,none:retail,0,2.0,0,0,0,0,2,0,0,0.2857142857142857,0,2,1,167
67,-78.47594000000002,38.07772,-1,51,3,10601,3,1,2167.0,0,1,0,0,none:retail,0,1.0,0,0,0,0,0,0,1,0.1428571428571428,0,1,1,208
68,-78.47539,38.07536,-1,51,3,10601,3,1,1537.0,0,1,0,0,none:retail,0,1.0,1,0,0,0,0,0,0,0.1428571428571428,0,1,1,209
69,-78.47431999999998,38.07431,-1,51,3,10601,3,3726,0.0,0,3726,0,0,none:care_facilitation,0,23.0,3,4,4,5,3,2,2,3.2857142857142856,3,5,4,286
70,-78.47795,38.07178,-1,51,3,10601,3,221,0.0,0,221,0,0,none:care_facilitation,0,1.0,0,0,0,0,1,0,0,0.1428571428571428,0,1,1,342
71,-78.4811,38.06913,-1,51,3,10601,3,1823,0.0,0,1823,0,0,none:care_facilitation,0,1.0,0,0,0,0,0,1,0,0.1428571428571428,0,1,1,421
72,-78.48234000000002,38.0706700000001,-1,51,3,10601,3,404,0.0,0,404,0,0,none:medical,0,1.0,0,0,1,0,0,0,0,0.1428571428571428,0,1,1,470
73,-78.47752,38.0718200000001,-1,51,3,10601,3,221,0.0,0,221,0,0,none:medical,0,1.0,0,1,0,0,0,0,0,0.1428571428571428,0,1,1,490
74,-78.47774,38.0731400000001,-1,51,3,10601,3,221,0.0,0,221,0,0,none:medical,0,1.0,0,0,0,0,0,0,1,0.1428571428571428,0,1,1,502
75,-78.4827,38.06967,-1,51,3,10601,3,1823,0.0,0,1823,0,0,none:medical,0,1.0,0,0,0,1,0,0,0,0.1428571428571428,0,1,1,534
76,-78.46942,38.0712500000001,-1,51,3,10601,3,351,0.0,0,351,0,0,none:medical,0,1.0,0,0,0,1,0,0,0,0.1428571428571428,0,1,1,597
77,-78.48175,38.0702600000001,-1,51,3,10601,3,53,0.0,0,53,0,0,none:medical,0,1.0,0,0,0,0,0,0,1,0.1428571428571428,0,1,1,599
78,-78.46276999999998,38.06325,-1,51,3,10602,1,910,0.0,0,910,0,0,none:government,0,1.0,0,0,0,0,0,1,0,0.1428571428571428,0,1,1,399
79,-78.45849,38.06008,-1,51,3,10602,2,910,0.0,0,910,0,0,none:medical,0,1.0,0,1,0,0,0,0,0,0.1428571428571428,0,1,1,293
80,-78.4773,38.0782,-1,51,3,10700,1,1,357.0,0,1,0,0,none:retail,0,1.0,0,0,0,1,0,0,0,0.1428571428571428,0,1,1,109
81,-78.47881,38.07779,-1,51,3,10700,1,1,914.0,0,1,0,0,none:retail,0,2.0,1,0,0,0,1,0,0,0.2857142857142857,0,1,1,137
82,-78.47577,38.07992,-1,51,3,10700,1,1,2653.0,0,1,0,0,none:retail,0,2.0,0,0,0,1,0,1,0,0.2857142857142857,0,1,2,160
83,-78.47908000000002,38.08483,-1,51,3,10700,1,1,1709.0,0,1,0,0,none:retail,0,2.0,0,1,0,0,0,0,1,0.2857142857142857,0,1,2,220
84,-78.47431,38.08154,-1,51,3,10700,1,1,329.0,0,1,0,0,none:retail,0,1.0,0,0,1,0,0,0,0,0.1428571428571428,0,1,1,241
85,-78.47804999999991,38.08448,-1,51,3,10700,1,213,0.0,0,213,0,0,none:medical,0,1.0,0,0,0,0,0,1,0,0.1428571428571428,0,1,1,274
86,-78.4788599999999,38.0818100000001,-1,51,3,10700,1,51,0.0,0,51,0,0,none:medical,0,1.0,0,1,0,0,0,0,0,0.1428571428571428,0,1,1,315
87,-78.47896,38.08556,-1,51,3,10700,1,232,0.0,0,232,0,0,none:medical,0,4.0,2,0,0,0,1,0,1,0.5714285714285714,0,2,1,430
88,-78.47891,38.08207,-1,51,3,10700,1,51,0.0,0,51,0,0,none:medical,0,1.0,0,0,0,0,1,0,0,0.1428571428571428,0,1,1,487
89,-78.47896,38.08556,-1,51,3,10700,1,232,0.0,0,232,0,0,none:medical,0,1.0,0,0,0,0,0,1,0,0.1428571428571428,0,1,1,499
90,-78.47849999999991,38.0847600000001,-1,51,3,10700,1,113,0.0,0,113,0,0,none:medical,0,1.0,0,0,1,0,0,0,0,0.1428571428571428,0,1,1,521
91,-78.47873,38.0817900000001,-1,51,3,10700,1,51,0.0,0,51,0,0,none:medical,0,1.0,0,0,0,0,1,0,0,0.1428571428571428,0,1,1,543
92,-78.48428,38.07041,-1,51,3,10700,2,1,215.0,0,1,0,0,none:retail,0,1.0,1,0,0,0,0,0,0,0.1428571428571428,0,1,1,110
93,-78.48993,38.07446,-1,51,3,10700,2,2681,0.0,0,2681,0,0,none:medical,0,1.0,0,1,0,0,0,0,0,0.1428571428571428,0,1,1,468
94,-78.49681,38.07525,-1,51,3,10700,2,86,0.0,0,86,0,0,none:medical,0,1.0,0,0,0,0,0,0,1,0.1428571428571428,0,1,1,485
95,-78.4897,38.0742100000001,-1,51,3,10700,2,2681,0.0,0,2681,0,0,none:medical,0,3.0,0,0,0,1,2,0,0,0.4285714285714285,0,2,1,492
96,-78.49601,38.07532,-1,51,3,10700,2,71,0.0,0,71,0,0,none:medical,0,1.0,0,0,0,0,1,0,0,0.1428571428571428,0,1,1,522
97,-78.48774,38.06841,-1,51,3,10700,3,1,5000.0,0,1,0,0,none:retail,0,1.0,0,0,0,1,0,0,0,0.1428571428571428,0,1,1,121
98,-78.4947799999999,38.06983,-1,51,3,10700,3,417,0.0,0,417,0,0,none:care_facilitation,0,1.0,1,0,0,0,0,0,0,0.1428571428571428,0,1,1,278
99,-78.49826,38.07435,-1,51,3,10700,3,20,0.0,0,20,0,0,none:medical,0,1.0,0,0,1,0,0,0,0,0.1428571428571428,0,1,1,353
100,-78.48574,38.06881,-1,51,3,10700,3,4301,0.0,0,4301,0,0,none:military,0,1.0,0,0,1,0,0,0,0,0.1428571428571428,0,1,1,360
101,-78.49707,38.075,-1,51,3,10700,3,86,0.0,0,86,0,0,none:medical,0,1.0,0,0,0,1,0,0,0,0.1428571428571428,0,1,1,391
102,-78.48574,38.0688200000001,-1,51,3,10700,3,4301,0.0,0,4301,0,0,none:medical,0,1.0,0,0,0,0,1,0,0,0.1428571428571428,0,1,1,482
103,-78.48761,38.06832,-1,51,3,10700,3,4301,0.0,0,4301,0,0,none:medical,0,3.0,0,1,0,1,1,0,0,0.4285714285714285,0,1,2,511
104,-78.4947799999999,38.06983,-1,51,3,10700,3,417,0.0,0,417,0,0,none:medical,0,5.0,1,1,1,1,1,0,0,0.7142857142857143,1,1,1,545
105,-78.47304,38.08691,-1,51,3,10800,1,1,1597.0,0,1,0,0,none:retail,0,1.0,0,0,0,0,0,0,1,0.1428571428571428,0,1,1,28
106,-78.47447,38.08648,-1,51,3,10800,1,1,1597.0,0,1,0,0,none:retail,0,1.0,0,0,0,0,1,0,0,0.1428571428571428,0,1,1,33
107,-78.47381,38.08717,-1,51,3,10800,1,1,1597.0,0,1,0,0,none:retail,0,1.0,1,0,0,0,0,0,0,0.1428571428571428,0,1,1,206
108,-78.47329,38.08768,-1,51,3,10800,1,1,1597.0,0,1,0,0,none:retail,0,1.0,0,0,0,0,1,0,0,0.1428571428571428,0,1,1,240
109,-78.50733000000002,38.07624000000001,-1,51,3,10800,1,5000,0.0,0,5000,0,0,none:government,0,2.0,0,1,0,0,0,1,0,0.2857142857142857,0,1,2,369
110,-78.50059,38.0775400000001,-1,51,3,10800,1,5000,0.0,0,5000,0,0,none:government,0,2.0,1,0,0,0,0,0,1,0.2857142857142857,0,1,2,404
111,-78.46667999999991,38.0986100000001,-1,51,3,10800,1,2016,0.0,0,2016,0,0,none:medical,0,1.0,0,0,0,0,1,0,0,0.1428571428571428,0,1,1,422
112,-78.47306999999998,38.0879,-1,51,3,10800,1,74,0.0,0,74,0,0,none:government,0,1.0,0,0,1,0,0,0,0,0.1428571428571428,0,1,1,525
113,-78.47471,38.0878000000001,-1,51,3,10800,1,1368,0.0,0,1368,0,0,none:medical,0,1.0,0,0,1,0,0,0,0,0.1428571428571428,0,1,1,547
114,-78.50065,38.06228,-1,51,3,10800,3,2388,0.0,0,2388,0,0,none:medical,0,1.0,0,0,1,0,0,0,0,0.1428571428571428,0,1,1,327
115,-78.50157,38.06172,-1,51,3,10800,3,2388,0.0,0,2388,0,0,none:medical,0,2.0,0,0,0,0,1,1,0,0.2857142857142857,0,1,1,612
116,-78.51325,38.06274000000001,-1,51,3,10800,5,1,634.0,0,1,0,0,none:retail,0,1.0,0,0,0,0,0,0,1,0.1428571428571428,0,1,1,214
117,-78.51008,38.059,-1,51,3,10800,5,4328,0.0,0,4328,0,0,none:care_facilitation,0,8.0,2,1,1,1,3,0,0,1.1428571428571428,1,3,2,309
118,-78.51354,38.0628800000001,-1,51,3,10800,5,126,0.0,0,126,0,0,none:care_facilitation,0,1.0,0,0,0,1,0,0,0,0.1428571428571428,0,1,1,440
119,-78.51548000000003,38.0617500000001,-1,51,3,10800,5,4328,0.0,0,4328,0,0,none:medical,0,4.0,2,1,0,0,0,0,1,0.5714285714285714,0,2,2,529
120,-78.51428,38.05609000000001,-1,51,3,10800,5,5000,0.0,0,5000,0,0,none:medical,0,4.0,1,0,0,1,1,0,1,0.5714285714285714,0,1,2,613
121,-78.5121799999999,38.05728,-1,51,3,10800,5,4328,0.0,0,4328,0,0,none:medical,0,2.0,0,0,1,0,0,1,0,0.2857142857142857,0,1,2,623
122,-78.51725,38.05024,-1,51,3,10901,1,5000,0.0,0,5000,0,0,none:care_facilitation,0,5.0,1,2,0,1,0,0,1,0.7142857142857143,0,2,2,283
123,-78.51753000000002,38.04634,-1,51,3,10901,1,49,0.0,0,49,0,0,none:medical,0,1.0,0,0,0,0,0,1,0,0.1428571428571428,0,1,1,359
124,-78.51753000000002,38.04634,-1,51,3,10901,1,49,0.0,0,49,0,0,none:medical,0,1.0,0,0,1,0,0,0,0,0.1428571428571428,0,1,1,493
125,-78.51391,38.0522700000001,-1,51,3,10901,1,5000,0.0,0,5000,0,0,none:government,0,6.0,1,1,1,0,0,2,1,0.8571428571428571,1,2,4,567
126,-78.51086,38.0519400000001,-1,51,3,10901,1,5000,0.0,0,5000,0,0,none:military,0,3.0,0,1,1,0,1,0,0,0.4285714285714285,0,1,2,575
127,-78.51616,38.0450200000001,-1,51,3,10902,1,533,0.0,0,533,0,0,none:medical,0,2.0,2,0,0,0,0,0,0,0.2857142857142857,0,2,1,406
128,-78.51276,38.0346500000001,-1,51,3,10903,1,2576,0.0,0,2576,0,0,none:medical,0,5.0,1,1,0,1,1,0,1,0.7142857142857143,1,1,4,335
129,-78.51105,38.0319500000001,-1,51,3,10903,1,4064,0.0,0,4064,0,0,none:government,0,2.0,0,0,0,0,2,0,0,0.2857142857142857,0,2,1,592
130,-78.50796,38.03611,-1,51,3,10903,2,1,1918.0,0,1,0,0,none:retail,0,1.0,0,0,0,1,0,0,0,0.1428571428571428,0,1,1,117
131,-78.503428,38.035665,-1,51,3,10903,2,8921,0.0,0,0,23898,0,education,0,20.0,1,1,1,1,11,5,0,2.857142857142857,1,11,3,259
132,-78.50067,38.03445,-1,51,3,10903,2,3417,0.0,0,3417,0,0,none:medical,0,5.0,1,1,2,1,0,0,0,0.7142857142857143,0,2,3,433
133,-78.50044,38.03439,-1,51,3,10903,2,3417,0.0,0,3417,0,0,none:medical,0,1.0,1,0,0,0,0,0,0,0.1428571428571428,0,1,1,550
134,-78.50044,38.03439,-1,51,3,10903,2,3417,0.0,0,3417,0,0,none:medical,0,3.0,0,1,0,0,2,0,0,0.4285714285714285,0,2,3,554
135,-78.5286,38.05064,-1,51,3,11000,1,1,2799.0,0,1,0,0,none:retail,0,1.0,0,0,1,0,0,0,0,0.1428571428571428,0,1,1,65
136,-78.5303499999999,38.051,-1,51,3,11000,1,1399,0.0,0,1399,0,0,none:medical,0,1.0,0,1,0,0,0,0,0,0.1428571428571428,0,1,1,448
137,-78.54486,38.05083,-1,51,3,11000,2,1,1576.0,0,1,0,0,none:retail,0,1.0,0,0,0,0,0,1,0,0.1428571428571428,0,1,1,158
138,-78.5424599999999,38.04481,-1,51,3,11000,2,5000,0.0,0,5000,0,0,none:medical,0,3.0,1,1,0,1,0,0,0,0.4285714285714285,0,1,2,571
139,-78.61744,38.05725,-1,51,3,11000,3,1,5000.0,0,1,0,0,none:retail,0,4.0,1,0,1,0,0,1,1,0.5714285714285714,0,1,2,130
140,-78.57003,38.0662400000001,-1,51,3,11000,5,251,0.0,0,251,0,0,none:medical,0,1.0,0,0,0,1,0,0,0,0.1428571428571428,0,1,1,616
141,-78.67541999999997,38.0688400000001,-1,51,3,11100,1,3760,0.0,0,3760,0,0,none:medical,0,2.0,0,1,1,0,0,0,0,0.2857142857142857,0,1,1,323
142,-78.67541999999997,38.0688400000001,-1,51,3,11100,1,3760,0.0,0,3760,0,0,none:medical,0,3.0,0,0,1,0,0,2,0,0.4285714285714285,0,2,3,330
143,-78.67538,38.0688700000001,-1,51,3,11100,1,3760,0.0,0,3760,0,0,none:medical,0,2.0,0,0,1,0,1,0,0,0.2857142857142857,0,1,2,503
144,-78.69624,38.06901,-1,51,3,11100,1,450,0.0,0,450,0,0,none:medical,0,11.0,0,3,3,3,1,1,0,1.5714285714285714,1,3,1,512
145,-78.69624,38.06901,-1,51,3,11100,1,450,0.0,0,450,0,0,none:medical,0,1.0,0,0,0,0,0,1,0,0.1428571428571428,0,1,1,519
146,-78.67541999999997,38.0688400000001,-1,51,3,11100,1,3760,0.0,0,3760,0,0,none:medical,0,2.0,0,0,1,0,1,0,0,0.2857142857142857,0,1,1,634
147,-78.67541999999997,38.0688400000001,-1,51,3,11100,1,3760,0.0,0,3760,0,0,none:medical,0,1.0,0,0,0,1,0,0,0,0.1428571428571428,0,1,1,635
148,-78.68087,38.0521400000001,-1,51,3,11100,2,114,0.0,0,114,0,0,none:medical,0,1.0,0,0,0,0,0,0,1,0.1428571428571428,0,1,1,333
149,-78.70949,38.05843,-1,51,3,11100,4,420,0.0,0,420,0,0,none:medical,0,1.0,0,0,1,0,0,0,0,0.1428571428571428,0,1,1,338
150,-78.70947,38.0584200000001,-1,51,3,11100,4,420,0.0,0,420,0,0,none:medical,0,1.0,0,0,0,1,0,0,0,0.1428571428571428,0,1,1,479
151,-78.73246999999998,38.04156,-1,51,3,11201,1,1,494.0,0,1,0,0,none:retail,0,1.0,0,0,0,0,0,0,1,0.1428571428571428,0,1,1,257
152,-78.52795,38.02518,-1,51,3,11202,1,625,0.0,0,625,0,0,none:government,0,1.0,0,0,0,1,0,0,0,0.1428571428571428,0,1,1,488
153,-78.64518000000002,37.9656400000001,-1,51,3,11202,2,328,0.0,0,328,0,0,none:care_facilitation,0,1.0,0,0,1,0,0,0,0,0.1428571428571428,0,1,1,428
154,-78.57226,37.94477,-1,51,3,11301,2,1,292.0,0,1,0,0,none:retail,0,1.0,0,0,0,1,0,0,0,0.1428571428571428,0,1,1,174
155,-78.51389,38.00381,-1,51,3,11302,2,1,124.0,0,1,0,0,none:retail,0,1.0,0,0,1,0,0,0,0,0.1428571428571428,0,1,1,173
156,-78.5156699999999,38.00476,-1,51,3,11302,2,5000,0.0,0,5000,0,0,none:government,0,2.0,0,1,0,1,0,0,0,0.2857142857142857,0,1,1,287
157,-78.49932,38.00355,-1,51,3,11303,1,1,1049.0,0,1,0,0,none:retail,0,2.0,0,0,0,0,0,1,1,0.2857142857142857,0,1,2,22
158,-78.49696999999998,38.00298,-1,51,3,11303,1,1,632.0,0,1,0,0,none:retail,0,1.0,1,0,0,0,0,0,0,0.1428571428571428,0,1,1,232
159,-78.4936,38.0059600000001,-1,51,3,11303,1,3229,0.0,0,3229,0,0,none:government,0,4.0,0,2,0,1,0,1,0,0.5714285714285714,0,2,2,288
160,-78.49915,38.0036900000001,-1,51,3,11303,1,431,0.0,0,431,0,0,none:medical,0,1.0,0,0,0,0,1,0,0,0.1428571428571428,0,1,1,373
161,-78.49508,38.00548,-1,51,3,11303,1,3229,0.0,0,3229,0,0,none:government,0,3.0,1,0,0,0,1,0,1,0.4285714285714285,0,1,2,380
162,-78.4986,38.01093,-1,51,3,11303,1,325,0.0,0,325,0,0,none:medical,0,1.0,0,0,0,1,0,0,0,0.1428571428571428,0,1,1,508
