daynum,pid,activity_number,activity_type,start_time,end_time,duration,lid
0,6,2,4,58560,58860,300,524
0,6,4,2,60420,77460,17040,267
0,6,6,1,79140,100800,21660,642
1,6,7,1,100800,111000,10200,642
1,6,9,2,113100,142200,29100,267
1,6,11,1,143100,187200,44100,642
2,6,12,1,187200,197400,10200,642
2,6,14,2,199500,228600,29100,267
2,6,16,1,229500,273600,44100,642
3,6,17,1,273600,283800,10200,642
3,6,19,2,285900,315000,29100,267
3,6,21,1,315900,360000,44100,642
4,6,22,1,360000,446400,86400,642
5,6,23,1,446400,459600,13200,642
5,6,25,4,460080,460440,360,614
5,6,27,3,460920,463200,2280,51
5,6,29,4,464100,466800,2700,568
5,6,31,1,467700,492300,24600,642
5,6,33,4,493500,501600,8100,631
5,6,35,4,502500,503400,900,631
5,6,37,1,504300,532800,28500,642
6,6,38,1,532800,537900,5100,642
6,6,40,2,538500,557970,19470,267
6,6,42,2,558090,560700,2610,267
6,6,44,2,561000,582600,21600,267
6,6,46,1,583500,604800,21300,642
0,7,0,1,0,18000,18000,692
0,7,2,4,21600,100800,79200,540
1,7,3,1,100800,136800,36000,692
1,7,5,3,137700,140100,2400,38
1,7,7,3,140400,142200,1800,187
1,7,9,1,143100,152100,9000,692
1,7,11,3,153000,153900,900,98
1,7,13,3,155100,156600,1500,3
1,7,15,1,156900,187200,30300,692
2,7,16,1,187200,223200,36000,692
2,7,18,3,224100,226500,2400,253
2,7,20,3,226800,228600,1800,162
2,7,22,1,229500,238500,9000,692
2,7,24,3,239400,240300,900,168
2,7,26,3,241500,243000,1500,233
2,7,28,1,243300,273600,30300,692
3,7,29,1,273600,309600,36000,692
3,7,31,3,310500,312900,2400,69
3,7,33,3,313200,315000,1800,111
3,7,35,1,315900,324900,9000,692
3,7,37,3,325800,326700,900,12
3,7,39,3,327900,329400,1500,229
3,7,41,1,329700,360000,30300,692
4,7,42,1,360000,381600,21600,692
4,7,44,4,382800,386700,3900,294
4,7,46,3,387000,387360,360,120
4,7,48,3,387900,389700,1800,136
4,7,50,1,390900,446400,55500,692
5,7,51,1,446400,461400,15000,692
5,7,53,4,462000,462600,600,568
5,7,55,2,462900,484200,21300,337
5,7,57,2,486900,492300,5400,337
5,7,59,1,494400,502200,7800,692
5,7,61,4,502500,503400,900,322
5,7,63,1,504000,532800,28800,692
6,7,64,1,532800,551700,18900,692
6,7,66,4,552300,552600,300,587
6,7,68,4,554400,565200,10800,595
6,7,70,4,566400,568800,2400,383
6,7,72,3,569700,572580,2880,68
6,7,74,4,572700,573000,300,419
6,7,76,4,574800,579600,4800,559
6,7,78,4,580500,584100,3600,322
6,7,80,3,587100,588900,1800,247
6,7,82,1,589800,604800,15000,692
0,8,0,1,0,42960,42960,733
0,8,2,4,43800,45900,2100,412
0,8,4,3,46500,46800,300,212
0,8,6,1,47100,100800,53700,733
1,8,7,1,100800,187200,86400,733
2,8,8,1,187200,273600,86400,733
3,8,9,1,273600,360000,86400,733
4,8,10,1,360000,396240,36240,733
4,8,12,3,397500,400200,2700,111
4,8,14,4,400500,400860,360,343
4,8,16,4,400980,401280,300,610
4,8,18,3,401760,403680,1920,179
4,8,20,1,403920,446400,42480,733
5,8,21,1,446400,473400,27000,733
5,8,23,3,474000,475800,1800,150
5,8,25,3,477000,477900,900,36
5,8,27,1,478800,532800,54000,733
6,8,28,1,532800,549900,17100,733
6,8,30,2,552600,559200,6600,300
6,8,32,3,560400,562500,2100,84
6,8,34,3,562800,566100,3300,43
6,8,36,1,567000,604800,37800,733
0,9,0,1,0,30600,30600,638
0,9,2,4,31560,32100,540,366
0,9,4,4,41640,42300,660,555
0,9,6,4,56160,100800,44640,322
1,9,7,1,100800,111240,10440,638
1,9,9,2,112980,145920,32940,379
1,9,11,4,146400,150300,3900,633
1,9,13,1,152100,156600,4500,638
1,9,15,4,157500,187200,29700,368
2,9,16,1,187200,197640,10440,638
2,9,18,2,199380,232320,32940,379
2,9,20,4,232800,236700,3900,419
2,9,22,1,238500,243000,4500,638
2,9,24,4,243900,273600,29700,344
3,9,25,1,273600,284040,10440,638
3,9,27,2,285780,318720,32940,379
3,9,29,4,319200,323100,3900,355
3,9,31,1,324900,329400,4500,638
3,9,33,4,330300,360000,29700,455
4,9,34,1,360000,379800,19800,638
4,9,36,4,380700,387900,7200,291
4,9,38,1,388800,390600,1800,638
4,9,40,2,391200,391500,300,379
4,9,42,1,391800,446400,54600,638
5,9,43,1,446400,474300,27900,638
5,9,45,2,475500,508500,33000,379
5,9,47,3,509100,509700,600,45
5,9,49,1,511200,532800,21600,638
6,9,50,1,532800,556800,24000,638
6,9,52,7,558000,561900,3900,205
6,9,54,4,562800,566100,3300,585
6,9,56,1,566400,579600,13200,638
6,9,58,4,579840,582720,2880,618
6,9,60,1,582900,604800,21900,638
0,10,0,1,0,32400,32400,698
0,10,2,4,32700,33000,300,504
0,10,4,4,34800,36000,1200,366
0,10,6,3,36300,36600,300,53
0,10,8,4,38400,43380,4980,496
0,10,10,1,43980,100800,56820,698
1,10,11,1,100800,115200,14400,698
1,10,13,2,117900,147600,29700,343
1,10,15,4,150240,150540,300,400
1,10,17,1,150900,187200,36300,698
2,10,18,1,187200,201600,14400,698
2,10,20,2,204300,234000,29700,343
2,10,22,4,236640,236940,300,591
2,10,24,1,237300,273600,36300,698
3,10,25,1,273600,288000,14400,698
3,10,27,2,290700,320400,29700,343
3,10,29,4,323040,323340,300,455
3,10,31,1,323700,360000,36300,698
4,10,32,4,360000,446400,86400,365
5,10,33,1,446400,467100,20700,698
5,10,35,4,468000,476100,8100,494
5,10,37,4,477000,482400,5400,415
5,10,39,4,483300,483600,300,348
5,10,41,7,484800,487800,3000,194
5,10,43,3,488280,489300,1020,151
5,10,45,1,490440,532800,42360,698
6,10,46,1,532800,543600,10800,698
6,10,48,1,546900,550500,3600,698
6,10,50,7,550800,562200,11400,194
6,10,52,1,562500,604800,42300,698
0,11,0,1,0,39600,39600,682
0,11,2,1,46200,100800,54600,682
1,11,3,1,100800,187200,86400,682
2,11,4,1,187200,273600,86400,682
3,11,5,1,273600,360000,86400,682
4,11,6,1,360000,382800,22800,682
4,11,8,3,383400,385200,1800,53
4,11,10,1,386220,446400,60180,682
5,11,11,1,446400,532800,86400,682
6,11,12,1,532800,556200,23400,682
6,11,14,7,556800,567000,10200,144
6,11,16,4,567600,568200,600,333
6,11,18,1,568800,604800,36000,682
0,12,0,1,0,25800,25800,720
0,12,2,5,26760,57000,30240,262
0,12,4,1,57900,62100,4200,720
0,12,6,4,63300,100800,37500,607
1,12,7,1,100800,129600,28800,720
1,12,9,4,130200,131400,1200,587
1,12,11,4,133200,144000,10800,600
1,12,13,1,145800,153000,7200,720
1,12,15,1,155040,187200,32160,720
2,12,16,1,187200,216000,28800,720
2,12,18,4,216600,217800,1200,361
2,12,20,4,219600,230400,10800,365
2,12,22,1,232200,239400,7200,720
2,12,24,1,241440,273600,32160,720
3,12,25,1,273600,302400,28800,720
3,12,27,4,303000,304200,1200,615
3,12,29,4,306000,316800,10800,385
3,12,31,1,318600,325800,7200,720
3,12,33,1,327840,360000,32160,720
4,12,34,1,360000,385200,25200,720
4,12,36,4,386100,387000,900,276
4,12,38,4,387600,388800,1200,365
4,12,40,3,389700,392400,2700,83
4,12,42,3,393300,394200,900,155
4,12,44,4,394500,394800,300,414
4,12,46,4,395100,396000,900,615
4,12,48,1,396900,403200,6300,720
4,12,50,4,404100,408600,4500,587
4,12,52,4,409500,411300,1800,572
4,12,54,1,412200,446400,34200,720
5,12,55,1,446400,488100,41700,720
5,12,57,1,491100,532800,41700,720
6,12,58,1,532800,562200,29400,720
6,12,60,3,563400,577200,13800,256
6,12,62,1,578700,604800,26100,720
0,13,0,1,0,25020,25020,659
0,13,2,5,25440,57600,32160,272
0,13,4,1,57840,100800,42960,659
1,13,5,1,100800,127800,27000,659
1,13,7,4,128220,132540,4320,586
1,13,9,4,133200,133500,300,587
1,13,11,1,133620,187200,53580,659
2,13,12,1,187200,214200,27000,659
2,13,14,4,214620,218940,4320,618
2,13,16,4,219600,219900,300,615
2,13,18,1,220020,273600,53580,659
3,13,19,1,273600,300600,27000,659
3,13,21,4,301020,305340,4320,563
3,13,23,4,306000,306300,300,363
3,13,25,1,306420,360000,53580,659
4,13,26,1,360000,373500,13500,659
4,13,28,5,374400,403200,28800,272
4,13,30,1,404400,446400,42000,659
5,13,31,1,446400,482400,36000,659
5,13,33,5,482700,516600,33900,272
5,13,35,1,516900,532800,15900,659
6,13,36,1,532800,572400,39600,659
6,13,38,4,573000,576000,3000,368
6,13,40,1,576600,577800,1200,659
6,13,42,4,578100,595200,17100,282
6,13,44,1,595800,604800,9000,659
0,14,0,1,0,44400,44400,652
0,14,2,1,44640,54000,9360,652
0,14,4,3,55200,56700,1500,239
0,14,6,4,57600,64800,7200,548
0,14,8,4,65700,66600,900,610
0,14,10,1,67500,100800,33300,652
1,14,11,1,100800,126300,25500,652
1,14,13,4,127500,165900,38400,306
1,14,15,1,167400,187200,19800,652
2,14,16,1,187200,212700,25500,652
2,14,18,4,213900,252300,38400,334
2,14,20,1,253800,273600,19800,652
3,14,21,1,273600,299100,25500,652
3,14,23,4,300300,338700,38400,286
3,14,25,1,340200,360000,19800,652
4,14,26,1,360000,380700,20700,652
4,14,28,4,382080,386700,4620,613
4,14,30,4,387420,391680,4260,487
4,14,32,4,393120,407880,14760,392
4,14,34,1,409440,446400,36960,652
5,14,35,4,446400,465000,18600,294
5,14,37,3,465300,468180,2880,119
5,14,39,4,468300,469020,720,612
5,14,41,4,469560,472620,3060,623
5,14,43,3,473160,484200,11040,113
5,14,45,1,486060,495900,9840,652
5,14,47,4,496800,502200,5400,320
5,14,49,1,503100,532800,29700,652
6,14,50,1,532800,604800,72000,652
0,15,0,1,0,26400,26400,648
0,15,2,5,27300,55080,27780,272
0,15,4,4,55560,57600,2040,366
0,15,6,3,58500,59400,900,134
0,15,8,1,60300,100800,40500,648
1,15,9,1,100800,114300,13500,648
1,15,11,5,114600,142200,27600,272
1,15,13,4,144000,151200,7200,365
1,15,15,1,153000,187200,34200,648
2,15,16,1,187200,200700,13500,648
2,15,18,5,201000,228600,27600,272
2,15,20,4,230400,237600,7200,486
2,15,22,1,239400,273600,34200,648
3,15,23,1,273600,287100,13500,648
3,15,25,5,287400,315000,27600,272
3,15,27,4,316800,324000,7200,415
3,15,29,1,325800,360000,34200,648
4,15,30,1,360000,376200,16200,648
4,15,32,5,376800,400200,23400,272
4,15,34,1,401400,408300,6900,648
4,15,36,4,410880,413280,2400,362
4,15,38,4,414900,420300,5400,568
4,15,40,1,421200,446400,25200,648
5,15,41,1,446400,465900,19500,648
5,15,43,3,466320,467760,1440,59
5,15,45,3,468720,473280,4560,67
5,15,47,4,475080,489780,14700,618
5,15,49,1,491880,532800,40920,648
6,15,50,1,532800,550800,18000,648
6,15,52,7,552000,567600,15600,203
6,15,54,1,568800,604800,36000,648
0,16,0,1,0,14400,14400,684
0,16,2,4,14520,23220,8700,530
0,16,4,1,30600,45540,14940,684
0,16,6,4,46020,48840,2820,568
0,16,8,1,49200,60180,10980,684
0,16,10,3,60780,61140,360,142
0,16,12,1,61680,100800,39120,684
1,16,13,1,100800,113400,12600,684
1,16,15,2,115200,149400,34200,261
1,16,17,1,152100,187200,35100,684
2,16,18,1,187200,199800,12600,684
2,16,20,2,201600,235800,34200,261
2,16,22,1,238500,273600,35100,684
3,16,23,1,273600,286200,12600,684
3,16,25,2,288000,322200,34200,261
3,16,27,1,324900,360000,35100,684
4,16,28,1,360000,369600,9600,684
4,16,30,2,371700,403200,31500,261
4,16,32,4,405000,406800,1800,570
4,16,34,4,408600,413100,4500,368
4,16,36,3,414000,416700,2700,27
4,16,38,1,417600,446400,28800,684
5,16,39,1,446400,488640,42240,684
5,16,41,4,489120,495240,6120,491
5,16,43,1,495840,501000,5160,684
5,16,45,4,502140,507240,5100,609
5,16,47,1,508560,532800,24240,684
6,16,48,1,532800,556200,23400,684
6,16,50,4,557100,574200,17100,291
6,16,52,4,575100,576000,900,348
6,16,54,3,576600,579000,2400,35
6,16,56,1,580800,604800,24000,684
0,17,0,4,0,14400,14400,376
0,17,2,1,14520,23400,8880,689
0,17,4,2,24300,40200,15900,271
0,17,6,2,40800,44100,3300,271
0,17,8,2,45000,55800,10800,271
0,17,10,4,57300,59100,1800,348
0,17,12,4,60300,61800,1500,455
0,17,14,1,62400,100800,38400,689
1,17,15,2,100800,114300,13500,271
1,17,17,1,115500,135600,20100,689
1,17,19,3,135780,136080,300,166
1,17,21,1,136380,146400,10020,689
1,17,23,4,146700,147000,300,572
1,17,25,1,147300,153900,6600,689
1,17,27,4,154500,158400,3900,573
1,17,29,1,159000,187200,28200,689
2,17,30,2,187200,200700,13500,271
2,17,32,1,201900,222000,20100,689
2,17,34,3,222180,222480,300,7
2,17,36,1,222780,232800,10020,689
2,17,38,4,233100,233400,300,467
2,17,40,1,233700,240300,6600,689
2,17,42,4,240900,244800,3900,568
2,17,44,1,245400,273600,28200,689
3,17,45,2,273600,287100,13500,271
3,17,47,1,288300,308400,20100,689
3,17,49,3,308580,308880,300,88
3,17,51,1,309180,319200,10020,689
3,17,53,4,319500,319800,300,491
3,17,55,1,320100,326700,6600,689
3,17,57,4,327300,331200,3900,501
3,17,59,1,331800,360000,28200,689
4,17,60,1,360000,375420,15420,689
4,17,62,2,376200,390000,13800,271
4,17,64,1,390420,391320,900,689
4,17,66,2,391800,412740,20940,271
4,17,68,1,413520,417240,3720,689
4,17,70,3,417780,418500,720,227
4,17,72,1,418980,446400,27420,689
5,17,73,1,446400,464400,18000,689
5,17,75,4,465600,469200,3600,517
5,17,77,3,469800,472800,3000,236
5,17,79,1,473640,492600,18960,689
5,17,81,4,494700,503400,8700,365
5,17,83,1,504300,532800,28500,689
6,17,84,4,532800,554400,21600,455
6,17,86,4,557400,604800,47400,466
0,18,0,1,0,25440,25440,675
0,18,2,2,27720,65580,37860,501
0,18,4,4,67740,68700,960,415
0,18,6,4,69300,69600,300,415
0,18,8,3,69780,70200,420,143
0,18,10,4,70350,70650,300,587
0,18,12,1,71220,100800,29580,675
1,18,13,1,100800,114900,14100,675
1,18,15,2,115140,150180,35040,501
1,18,17,1,150360,187200,36840,675
2,18,18,1,187200,201300,14100,675
2,18,20,2,201540,236580,35040,501
2,18,22,1,236760,273600,36840,675
3,18,23,1,273600,287700,14100,675
3,18,25,2,287940,322980,35040,501
3,18,27,1,323160,360000,36840,675
4,18,28,1,360000,362700,2700,675
4,18,30,2,364500,401400,36900,501
4,18,32,1,404400,446400,42000,675
5,18,33,1,446400,462600,16200,675
5,18,35,4,463200,463800,600,308
5,18,37,1,465000,467400,2400,675
5,18,39,4,467640,468720,1080,415
5,18,41,1,468960,478800,9840,675
5,18,43,4,479400,480480,1080,365
5,18,45,1,481320,484500,3180,675
5,18,47,3,485040,486600,1560,111
5,18,49,4,486900,488520,1620,587
5,18,51,1,489060,532800,43740,675
6,18,52,1,532800,548400,15600,675
6,18,54,3,549000,549600,600,128
6,18,56,1,549900,553500,3600,675
6,18,58,3,553800,554100,300,67
6,18,60,1,554400,570600,16200,675
6,18,62,3,571200,571500,300,162
6,18,64,3,572100,575220,3120,49
6,18,66,3,575700,576600,900,108
6,18,68,1,577800,604800,27000,675
0,19,0,1,0,28980,28980,680
0,19,2,4,29760,30060,300,549
0,19,4,5,30900,57300,26400,264
0,19,6,4,57930,58230,300,383
0,19,8,4,58620,61500,2880,415
0,19,10,3,61860,62160,300,206
0,19,12,1,62460,100800,38340,680
1,19,13,1,100800,113700,12900,680
1,19,15,5,114900,140400,25500,264
1,19,17,1,141900,187200,45300,680
2,19,18,1,187200,200100,12900,680
2,19,20,5,201300,226800,25500,264
2,19,22,1,228300,273600,45300,680
3,19,23,1,273600,286500,12900,680
3,19,25,5,287700,313200,25500,264
3,19,27,1,314700,360000,45300,680
4,19,28,1,360000,372600,12600,680
4,19,30,5,372900,397200,24300,264
4,19,32,4,397800,412200,14400,289
4,19,34,1,412800,446400,33600,680
5,19,35,1,446400,473400,27000,680
5,19,37,4,475200,480600,5400,567
5,19,39,1,481800,532800,51000,680
6,19,40,1,532800,579600,46800,680
6,19,42,3,580800,583200,2400,210
6,19,44,3,584400,587700,3300,100
6,19,46,1,588600,604800,16200,680
0,20,0,1,0,34800,34800,678
0,20,2,4,36600,43200,6600,343
0,20,4,4,45900,49500,3600,587
0,20,6,1,50460,100800,50340,678
1,20,7,1,100800,110100,9300,678
1,20,9,4,111900,135000,23100,397
1,20,11,3,136200,137400,1200,125
1,20,13,3,139200,140100,900,178
1,20,15,4,142800,144600,1800,329
1,20,17,1,146700,187200,40500,678
2,20,18,1,187200,196500,9300,678
2,20,20,4,198300,221400,23100,618
2,20,22,3,222600,223800,1200,153
2,20,24,3,225600,226500,900,229
2,20,26,4,229200,231000,1800,284
2,20,28,1,233100,273600,40500,678
3,20,29,1,273600,282900,9300,678
3,20,31,4,284700,307800,23100,455
3,20,33,3,309000,310200,1200,148
3,20,35,3,312000,312900,900,216
3,20,37,4,315600,317400,1800,587
3,20,39,1,319500,360000,40500,678
4,20,40,1,360000,369900,9900,678
4,20,42,4,370800,375300,4500,357
4,20,44,1,375960,378900,2940,678
4,20,46,4,381600,385200,3600,375
4,20,48,1,387600,396900,9300,678
4,20,50,3,397800,398700,900,3
4,20,52,4,399000,403200,4200,556
4,20,54,4,404400,412200,7800,500
4,20,56,1,414600,446400,31800,678
5,20,57,1,446400,532800,86400,678
6,20,58,1,532800,556200,23400,678
6,20,60,7,556620,561180,4560,32
6,20,62,1,561600,604800,43200,678
0,21,0,1,0,27000,27000,697
0,21,2,4,27600,28200,600,294
0,21,4,4,28500,100800,72300,322
1,21,5,1,100800,112500,11700,697
1,21,7,4,114300,120600,6300,618
1,21,9,1,122400,129600,7200,697
1,21,11,4,130800,140400,9600,568
1,21,13,1,141600,187200,45600,697
2,21,14,1,187200,198900,11700,697
2,21,16,4,200700,207000,6300,615
2,21,18,1,208800,216000,7200,697
2,21,20,4,217200,226800,9600,451
2,21,22,1,228000,273600,45600,697
3,21,23,1,273600,285300,11700,697
3,21,25,4,287100,293400,6300,620
3,21,27,1,295200,302400,7200,697
3,21,29,4,303600,313200,9600,418
3,21,31,1,314400,360000,45600,697
4,21,32,1,360000,373500,13500,697
4,21,34,2,374400,406800,32400,263
4,21,36,1,408300,426600,18300,697
4,21,38,7,428700,432300,3600,192
5,21,40,1,434100,446400,12300,697
5,21,41,1,446400,505020,58620,697
5,21,43,4,506460,532800,26340,632
6,21,44,1,532800,551700,18900,697
6,21,46,7,552600,566520,13920,192
6,21,48,4,566880,567180,300,368
6,21,50,4,567600,574800,7200,540
6,21,52,4,576000,578400,2400,415
6,21,54,4,579000,590700,11700,308
6,21,56,1,590820,604800,13980,697
0,22,0,1,0,29700,29700,718
0,22,2,4,30060,30360,300,529
0,22,4,4,30780,31080,300,546
0,22,6,3,31200,31800,600,112
0,22,8,1,32100,40500,8400,718
0,22,10,4,41100,41400,300,283
0,22,12,4,44100,49500,5400,340
0,22,14,1,49800,54000,4200,718
0,22,16,4,54420,55800,1380,550
0,22,18,1,56100,64800,8700,718
0,22,20,4,66300,70200,3900,457
0,22,22,1,71400,100800,29400,718
1,22,23,1,100800,120300,19500,718
1,22,25,4,121500,122400,900,323
1,22,27,1,123600,134160,10560,718
1,22,29,2,135120,137340,2220,259
1,22,31,4,137580,138000,420,477
1,22,33,1,138960,139260,300,718
1,22,35,1,139500,152820,13320,718
1,22,37,4,154080,156000,1920,288
1,22,39,4,156180,157200,1020,571
1,22,41,4,158520,168300,9780,288
1,22,43,1,168480,187200,18720,718
2,22,44,1,187200,206700,19500,718
2,22,46,4,207900,208800,900,338
2,22,48,1,210000,220560,10560,718
2,22,50,2,221520,223740,2220,259
2,22,52,4,223980,224400,420,572
2,22,54,1,225360,225660,300,718
2,22,56,1,225900,239220,13320,718
2,22,58,4,240480,242400,1920,525
2,22,60,4,242580,243600,1020,390
2,22,62,4,244920,254700,9780,343
2,22,64,1,254880,273600,18720,718
3,22,65,1,273600,293100,19500,718
3,22,67,4,294300,295200,900,570
3,22,69,1,296400,306960,10560,718
3,22,71,2,307920,310140,2220,259
3,22,73,4,310380,310800,420,616
3,22,75,1,311760,312060,300,718
3,22,77,1,312300,325620,13320,718
3,22,79,4,326880,328800,1920,511
3,22,81,4,328980,330000,1020,415
3,22,83,4,331320,341100,9780,450
3,22,85,1,341280,360000,18720,718
4,22,86,2,360000,361800,1800,259
4,22,88,2,362820,364860,2040,259
4,22,90,2,369900,370800,900,259
4,22,92,2,374520,375960,1440,259
4,22,94,2,377460,380160,2700,259
4,22,96,2,382080,383220,1140,259
