hid,pid,age,sex,employment_status,race,hispanic,designation,hh_size,hh_income,workers_in_family,lid,longitude,latitude,admin1,admin2,admin3,admin4,home_lid,total_visits,old_pid
2219673,21,21,2,6,1,1,none,4,400,0,1002285126,-78.5090594023473,38.03151616635471,51,540,600,1,-1.0,29.0,61
2217161,22,81,2,6,1,1,none,2,46980,0,1000517213,-78.497638325168,38.0213169597179,51,540,501,3,-1.0,30.0,73
2222060,23,50,2,1,1,1,retail,2,38500,2,1002705918,-78.50627658884859,38.0499324147985,51,540,700,3,-1.0,24.0,74
2216890,24,19,1,3,2,1,none,3,28600,2,1002626755,-78.5002759810666,38.0244261652992,51,540,501,3,-1.0,35.0,75
2209572,25,31,1,1,9,1,none,6,66800,2,1002653261,-78.4936037598891,38.036477525271295,51,540,202,1,-1.0,51.0,97
2214092,26,28,2,1,1,1,retail,2,25400,1,1001968992,-78.47757666666669,38.0238627233115,51,540,402,2,-1.0,33.0,96
2210175,27,23,2,1,1,1,none,3,14300,0,1002600234,-78.4975895896646,38.036498574037104,51,540,202,2,-1.0,45.0,95
2214243,28,39,2,1,2,1,care_facilitation,2,26000,1,1000438609,-78.4756845,38.019858,51,540,402,2,-1.0,29.0,94
2222921,29,28,2,1,1,1,none,2,123000,0,1001968953,-78.4744518032251,38.0559632505234,51,540,800,2,-1.0,33.0,93
2221841,30,40,1,1,1,1,none,1,80000,0,1002416339,-78.5055065315989,38.051248982952,51,540,700,3,-1.0,47.0,92
2213043,31,74,2,1,2,1,care_facilitation,2,50000,2,1002100727,-78.496565,38.0140915,51,540,401,2,-1.0,33.0,91
2218817,32,44,1,1,1,1,none,5,221100,2,1001308357,-78.5183507013223,38.023123961808096,51,540,502,3,-1.0,37.0,90
2221068,33,41,2,6,1,1,none,2,71000,0,1000886295,-78.4825155,38.046323,51,540,700,1,-1.0,26.0,89
2212577,34,35,1,6,1,1,none,3,99000,2,1000307017,-78.4801255015057,38.02686316944529,51,540,401,1,-1.0,27.0,87
2218603,35,46,1,1,1,1,none,5,82850,2,1000174957,-78.517148607247,38.0165962954092,51,540,502,3,-1.0,51.0,86
2214305,36,32,1,1,1,1,none,2,115000,2,1000781273,-78.47670550646171,38.0260576501197,51,540,402,2,-1.0,52.0,85
2218650,37,30,1,1,1,1,none,3,231000,2,1002100707,-78.515233,38.023709,51,540,502,3,-1.0,27.0,84
2210529,38,24,1,1,1,1,none,7,36210,0,1002416358,-78.49919341575371,38.038143697971286,51,540,202,3,-1.0,40.0,83
2209416,39,50,2,1,2,1,retail,2,17500,1,1001413982,-78.49376366964479,38.0354285600584,51,540,202,1,-1.0,30.0,82
2224252,40,61,2,6,1,1,education,1,37200,0,1002285183,-78.4613322723424,38.0485641258246,51,540,900,1,-1.0,39.0,81
2225349,41,74,2,6,1,1,government,2,92000,0,1000069760,-78.47531770010029,38.0311586453408,51,540,1000,1,-1.0,37.0,80
2218641,42,63,2,6,1,1,government,2,293000,0,1001995298,-78.5200540790114,38.0202592253336,51,540,502,3,-1.0,47.0,79
2212044,43,31,2,6,1,1,retail,5,0,0,1001255660,-78.4852215,38.026955,51,540,401,1,-1.0,19.0,78
2211506,44,7,2,0,6,1,none,4,256700,2,1000991984,-78.47204350000001,38.029873,51,540,302,1,-1.0,29.0,77
2222376,45,56,1,1,1,1,none,3,139300,2,1000938951,-78.51548459533609,38.039041237251,51,540,700,4,-1.0,44.0,76
2221065,46,27,2,1,1,1,education,1,25600,0,1000886285,-78.48325799999998,38.0504645,51,540,700,1,-1.0,33.0,51
2212593,47,53,2,3,2,1,none,2,24000,0,1000596672,-78.4788745,38.025117,51,540,401,1,-1.0,26.0,98
2220625,48,32,2,6,6,1,none,3,19500,0,1001704131,-78.5199023831463,38.0270695442191,51,540,600,2,-1.0,22.0,99
2209232,49,28,1,1,1,1,none,1,70050,0,1002232294,-78.4980675079721,38.0415522117748,51,540,201,3,-1.0,33.0,47
2226624,50,37,1,1,1,1,education,4,116100,2,1002285194,-78.47128416438129,38.03680847394671,51,540,1000,3,-1.0,73.0,22
2215759,51,69,1,1,1,1,education,2,117400,0,1001783689,-78.4816124626122,38.0135916885754,51,540,402,4,-1.0,32.0,21
2215724,52,75,1,6,1,1,none,2,35840,0,1001229283,-78.4759015,38.0161265,51,540,402,4,-1.0,35.0,20
2214447,53,31,1,1,1,1,none,2,304000,2,1001071140,-78.475827,38.022009,51,540,402,2,-1.0,38.0,18
2213413,54,31,1,1,2,1,education,5,96000,2,1001519618,-78.48574343079859,38.0193261647337,51,540,401,2,-1.0,47.0,17
2224057,55,25,1,1,1,1,education,2,50000,0,1001387475,-78.460578,38.046639,51,540,900,1,-1.0,32.0,16
2208842,56,5,2,0,1,1,none,2,58000,1,1000333413,-78.48911548896,38.03951233717329,51,540,201,2,-1.0,31.0,15
2220998,57,64,2,6,1,1,medical,1,67000,0,1000517239,-78.48336,38.045975,51,540,700,1,-1.0,29.0,14
2209075,58,4,1,0,2,1,none,5,29960,2,1000675512,-78.493844727926,38.04415651945421,51,540,201,3,-1.0,26.0,13
2210025,59,2,1,0,2,1,none,4,15000,1,1002363948,-78.4964832777247,38.0341628685904,51,540,202,2,-1.0,35.0,12
2223618,60,0,1,0,6,1,none,3,224500,2,1001334651,-78.4944497169077,38.0606798819404,51,540,800,4,-1.0,13.0,11
2219131,61,53,2,3,6,1,none,2,150500,2,1001863155,-78.51501758199579,38.0121547449689,51,540,502,4,-1.0,30.0,10
2226320,62,26,2,1,1,1,none,3,128070,0,1000043246,-78.4749275,38.0332945,51,540,1000,3,-1.0,34.0,9
2221493,63,58,2,6,1,1,none,2,175000,1,1002679511,-78.5008605,38.041932,51,540,700,2,-1.0,22.0,8
2221718,64,26,1,6,1,1,none,2,23000,1,1001572184,-78.4917853323859,38.0509432133694,51,540,700,2,-1.0,45.0,7
2217077,65,22,1,1,1,1,education,3,47200,0,1000148756,-78.500006,38.02328,51,540,501,3,-1.0,27.0,6
2215811,66,27,1,1,1,1,education,2,80000,2,1001387412,-78.49059150000002,38.028774,51,540,501,1,-1.0,38.0,5
2222567,67,7,1,0,6,1,none,3,80600,2,1002232357,-78.4674400991182,38.064193901373,51,540,800,1,-1.0,34.0,4
2212876,68,3,2,0,1,1,none,4,562000,2,1001229205,-78.493573,38.0178675,51,540,401,2,-1.0,25.0,3
2209986,69,21,1,6,1,1,none,4,4000,0,1000017089,-78.4967395581636,38.0375477994466,51,540,202,2,-1.0,38.0,2
2214120,70,26,1,1,1,1,government,2,34000,2,1002127261,-78.4764655,38.018208,51,540,402,2,-1.0,31.0,1
2209673,71,6,1,0,1,1,none,3,70000,1,1000096063,-78.4938192666408,38.0360671729737,51,540,202,1,-1.0,27.0,48
2218762,72,52,2,1,1,1,none,2,100600,2,1000912621,-78.52093140926858,38.022330311601294,51,540,502,3,-1.0,38.0,24
2219465,73,60,2,1,1,1,none,2,58000,1,1002390155,-78.5101835,38.015044,51,540,502,5,-1.0,25.0,23
2226041,74,44,2,1,1,1,medical,5,175002,2,1000333488,-78.477758,38.034441,51,540,1000,2,-1.0,34.0,26
2224308,75,58,1,1,1,1,none,2,44800,2,1002547878,-78.4648207142462,38.0381206035206,51,540,900,1,-1.0,18.0,46
2214418,76,5,2,0,2,1,none,3,26200,2,1001440251,-78.476929,38.0247875,51,540,402,2,-1.0,28.0,45
2208310,77,78,1,6,1,1,none,1,57000,0,1001546007,-78.4855405,38.042433,51,540,201,1,-1.0,21.0,44
2216009,78,37,2,1,2,1,none,2,18000,1,1000938991,-78.4937195,38.03024050000001,51,540,501,1,-1.0,17.0,43
2208332,79,62,2,6,1,1,none,2,28300,0,1001704173,-78.481543,38.043668,51,540,201,1,-1.0,19.0,42
2213769,80,1,1,0,1,1,none,3,205300,2,1002021766,-78.4717740449102,38.022386688498,51,540,402,1,-1.0,33.0,41
2212429,81,60,2,6,2,1,none,2,22100,0,1002521329,-78.4809795,38.026091,51,540,401,1,-1.0,35.0,40
2221741,82,22,1,1,1,1,retail,3,4000,0,1002442392,-78.498068,38.0440695,51,540,700,2,-1.0,28.0,39
2213228,83,37,2,3,6,1,none,4,10000,0,1000623060,-78.4843405,38.0187095,51,540,401,2,-1.0,34.0,38
2208715,84,1,1,0,1,1,none,3,50000,2,1002127141,-78.4927292173536,38.0413952093879,51,540,201,2,-1.0,31.0,25
2209103,85,22,2,6,1,1,none,3,29000,0,1000544061,-78.4961997217343,38.0413156958082,51,540,201,3,-1.0,15.0,37
2209640,86,80,2,6,1,1,none,1,39800,0,1000675526,-78.49446850000002,38.0366985,51,540,202,1,-1.0,30.0,35
2217917,87,65,1,1,2,1,education,4,35700,2,1000702040,-78.5016223498851,38.0195115659007,51,540,502,1,-1.0,32.0,34
2213580,88,12,2,0,1,1,none,4,124000,2,1001942541,-78.4722870278699,38.022348494767,51,540,402,1,-1.0,39.0,33
2225873,89,28,2,1,1,1,medical,3,113000,0,1000991968,-78.4742,38.0392695,51,540,1000,2,-1.0,31.0,32
2211949,90,19,1,6,1,1,medical,3,98500,3,1000860034,-78.461754,38.0329515,51,540,302,2,-1.0,31.0,31
2223799,91,42,2,6,1,1,none,6,9000,0,1002179855,-78.48917480311,38.05966241115721,51,540,800,4,-1.0,17.0,30
2220738,92,39,1,1,1,1,education,5,45000,1,1000122546,-78.4845963919598,38.0456902437186,51,540,700,1,-1.0,19.0,29
2208999,93,8,2,0,1,1,none,2,86600,1,1001545921,-78.4983445,38.041198,51,540,201,3,-1.0,27.0,28
2224010,94,56,2,1,1,1,none,1,56700,0,1001176117,-78.4594399741236,38.0421213357871,51,540,900,1,-1.0,30.0,27
2216656,95,52,2,1,2,1,medical,2,37100,1,1000570526,-78.50174653753571,38.0277983624301,51,540,501,2,-1.0,35.0,36
2221511,96,13,1,0,1,1,none,5,175030,1,1000333412,-78.4988955050329,38.0479498600269,51,540,700,2,247.0,27.0,50
2216875,97,27,1,6,1,1,government,2,7030,0,1002468623,-78.4992965,38.0236875,51,540,501,3,335.0,33.0,88
2217979,98,7,1,0,6,1,none,3,80600,2,1001281966,-78.507134,38.02562800000001,51,540,502,2,361.0,27.0,19
2225868,99,63,1,1,1,1,none,2,77000,2,1000991953,-78.4788145,38.0340465,51,540,1000,2,708.0,19.0,0
