lid,longitude,latitude,altitude,admin1,admin2,admin3,admin4,work,shopping,school,other,college,religion,designation,home
20,-78.47946,38.03012,-1,51,540,1000,1,1,600.0,0,1,0,0,none:retail,0
21,-78.50145,38.05233,-1,51,540,700,3,1,1134.0,0,1,0,0,none:retail,0
22,-78.49932,38.00355,-1,51,3,11303,1,1,1049.0,0,1,0,0,none:retail,0
23,-78.46188000000002,38.09953,-1,51,3,10601,1,1,551.0,0,1,0,0,none:retail,0
24,-77.1801,38.93427,-1,51,59,470600,2,1,166.0,0,1,0,0,none:retail,0
25,-78.50275,38.05141,-1,51,540,700,3,1,1134.0,0,1,0,0,none:retail,0
26,-78.49395,38.02866,-1,51,540,501,1,1,239.0,0,1,0,0,none:retail,0
27,-78.49631,38.03293,-1,51,540,202,1,1,2746.0,0,1,0,0,none:retail,0
28,-78.47304,38.08691,-1,51,3,10800,1,1,1597.0,0,1,0,0,none:retail,0
29,-78.43191,38.14347,-1,51,3,10300,3,1,1012.0,0,1,0,0,none:retail,0
30,-78.4960799999999,38.0223,-1,51,540,501,1,1,0.0,0,1,0,1,none,0
31,-78.4629399999999,38.0484300000001,-1,51,540,900,2,1,0.0,0,1,0,1,none,0
32,-78.47407,38.0388,-1,51,540,1000,2,1,0.0,0,1,0,1,none,0
33,-78.47447,38.08648,-1,51,3,10800,1,1,1597.0,0,1,0,0,none:retail,0
34,-78.46271,38.03279000000001,-1,51,540,302,2,1,363.0,0,1,0,0,none:retail,0
35,-78.48165999999998,38.03036,-1,51,540,1000,1,1,518.0,0,1,0,0,none:retail,0
36,-78.50256,38.0516,-1,51,540,700,3,1,1134.0,0,1,0,0,none:retail,0
37,-78.46599,38.0319,-1,51,540,302,1,1,44.0,0,1,0,0,none:retail,0
38,-78.48334,38.02406,-1,51,540,401,1,1,2792.0,0,1,0,0,none:retail,0
39,-78.4416,38.12882000000001,-1,51,3,10300,3,1,3679.0,0,1,0,0,none:retail,0
40,-78.50391,37.80786,-1,51,3,11400,3,1,484.0,0,1,0,0,none:retail,0
41,-78.48676,38.03597,-1,51,540,201,2,1,298.0,0,1,0,0,none:retail,0
42,-77.5723,37.54965,-1,51,760,70100,1,1,1275.0,0,1,0,0,none:retail,0
43,-78.51234000000002,38.0431,-1,51,540,700,4,1,220.0,0,1,0,0,none:retail,0
44,-78.48076,38.03048,-1,51,540,1000,1,1,518.0,0,1,0,0,none:retail,0
45,-78.49676,38.05576,-1,51,540,800,4,1,142.0,0,1,0,0,none:retail,0
46,-78.5049,38.05039,-1,51,540,700,3,1,1249.0,0,1,0,0,none:retail,0
47,-78.44937,38.03332,-1,51,3,10500,3,1,1512.0,0,1,0,0,none:retail,0
48,-78.51639,38.02522,-1,51,540,600,2,1,335.0,0,1,0,0,none:retail,0
49,-78.45773,38.03695,-1,51,540,900,1,1,420.0,0,1,0,0,none:retail,0
50,-78.47823000000002,38.04019,-1,51,540,1000,2,1,1526.0,0,1,0,0,none:retail,0
51,-78.49087,38.03819,-1,51,540,202,1,1,946.0,0,1,0,0,none:retail,0
52,-78.45876,38.03152,-1,51,3,10500,3,1,3252.0,0,1,0,0,none:retail,0
53,-78.46674,38.02609,-1,51,540,302,2,1,1223.0,0,1,0,0,none:retail,0
54,-78.48595,38.06474,-1,51,540,800,4,1,5000.0,0,1,0,0,none:retail,0
55,-78.48716999999998,38.03681,-1,51,540,201,2,1,1501.0,0,1,0,0,none:retail,0
56,-78.46903,38.02699000000001,-1,51,540,302,1,1,1711.0,0,1,0,0,none:retail,0
57,-78.50105,38.05107,-1,51,540,700,3,1,97.0,0,1,0,0,none:retail,0
58,-78.43543000000003,38.13236,-1,51,3,10300,3,1,603.0,0,1,0,0,none:retail,0
59,-78.50046999999998,38.03477,-1,51,540,202,3,1,429.0,0,1,0,0,none:retail,0
60,-78.46992,38.023,-1,51,540,402,1,1,607.0,0,1,0,0,none:retail,0
61,-78.50098,38.05114,-1,51,540,700,3,1,97.0,0,1,0,0,none:retail,0
62,-78.44335,38.12735,-1,51,3,10300,3,1,1196.0,0,1,0,0,none:retail,0
63,-78.45819,38.03095,-1,51,3,10500,3,1,3252.0,0,1,0,0,none:retail,0
64,-78.47208,38.07881,-1,51,3,10601,2,1,2167.0,0,1,0,0,none:retail,0
65,-78.5286,38.05064,-1,51,3,11000,1,1,2799.0,0,1,0,0,none:retail,0
66,-78.47884,38.03081,-1,51,540,1000,1,1,902.0,0,1,0,0,none:retail,0
67,-78.49028,38.06329,-1,51,540,800,4,1,410.0,0,1,0,0,none:retail,0
68,-78.47952,38.03106,-1,51,540,1000,1,1,636.0,0,1,0,0,none:retail,0
69,-78.47952,38.03106,-1,51,540,1000,1,1,636.0,0,1,0,0,none:retail,0
70,-78.48486,38.06933,-1,51,3,10601,3,1,1367.0,0,1,0,0,none:retail,0
71,-78.48148,38.03072,-1,51,540,1000,1,1,518.0,0,1,0,0,none:retail,0
72,-78.48285,38.03036,-1,51,540,1000,1,1,924.0,0,1,0,0,none:retail,0
73,-76.68828,37.27458,-1,51,830,370200,1,1,246.0,0,1,0,0,none:retail,0
74,-78.49547,38.05562000000001,-1,51,540,700,2,1,0.0,0,1,0,1,none,0
75,-78.50048000000002,38.05493,-1,51,540,800,4,1,385.0,0,1,0,0,none:retail,0
76,-78.50041999999998,38.05327,-1,51,540,700,3,1,722.0,0,1,0,0,none:retail,0
77,-78.4894,38.0376,-1,51,540,202,1,1,1396.0,0,1,0,0,none:retail,0
78,-78.49669,38.03302,-1,51,540,202,1,1,3888.0,0,1,0,0,none:retail,0
79,-78.51954,38.02598,-1,51,540,600,2,1,210.0,0,1,0,0,none:retail,0
80,-78.47569,38.0298,-1,51,540,1000,1,1,130.0,0,1,0,0,none:retail,0
81,-78.44236,38.14765,-1,51,3,10300,3,1,1929.0,0,1,0,0,none:retail,0
82,-78.4785,38.02986,-1,51,540,1000,1,1,600.0,0,1,0,0,none:retail,0
83,-78.4867,38.03065,-1,51,540,1000,1,1,220.0,0,1,0,0,none:retail,0
84,-78.51243000000002,38.04315,-1,51,540,700,4,1,220.0,0,1,0,0,none:retail,0
85,-78.44570999999998,38.12523,-1,51,3,10300,3,1,3885.0,0,1,0,0,none:retail,0
86,-78.47229,38.07906,-1,51,3,10601,3,1,2167.0,0,1,0,0,none:retail,0
87,-78.47,38.02268,-1,51,540,402,3,1,252.0,0,1,0,0,none:retail,0
88,-78.47599,38.02992,-1,51,540,1000,1,1,249.0,0,1,0,0,none:retail,0
89,-78.46889,38.02491,-1,51,540,302,1,1,0.0,0,1,0,1,none,0
90,-78.49439,38.0393100000001,-1,51,540,202,2,1,0.0,0,1,0,1,none,0
91,-78.4894,38.03133,-1,51,540,1000,1,1,0.0,0,1,0,1,none,0
92,-78.4806,38.0322600000001,-1,51,540,1000,1,1,0.0,0,1,0,1,none,0
93,-78.48347,38.04022,-1,51,540,201,1,1,0.0,0,1,0,1,none,0
94,-78.47389,38.0304600000001,-1,51,540,302,1,1,0.0,0,1,0,1,none,0
95,-78.43567,38.12533,-1,51,3,10300,1,1,1260.0,0,1,0,0,none:retail,0
96,-78.4839,38.03662,-1,51,540,1000,2,1,582.0,0,1,0,0,none:retail,0
97,-78.47799,38.04131,-1,51,540,1000,2,1,598.0,0,1,0,0,none:retail,0
98,-78.4799,38.04045,-1,51,540,1000,2,1,793.0,0,1,0,0,none:retail,0
99,-77.45578,37.51355,-1,51,760,60400,1,1,2745.0,0,1,0,0,none:retail,0
100,-78.4592,38.02103,-1,51,3,10402,1,1,568.0,0,1,0,0,none:retail,0
101,-78.48291,38.03772,-1,51,540,1000,2,1,694.0,0,1,0,0,none:retail,0
102,-78.48198000000002,38.03841,-1,51,540,1000,2,1,341.0,0,1,0,0,none:retail,0
103,-78.46797,38.09028,-1,51,3,10601,1,1,65.0,0,1,0,0,none:retail,0
104,-78.50134,38.04022,-1,51,540,202,3,1,0.0,0,1,0,1,none,0
105,-78.47245,38.07935,-1,51,3,10601,3,1,2167.0,0,1,0,0,none:retail,0
106,-78.4839,38.03662,-1,51,540,1000,2,1,582.0,0,1,0,0,none:retail,0
107,-78.50032,38.05433,-1,51,540,800,4,1,385.0,0,1,0,0,none:retail,0
108,-78.49931,38.05325,-1,51,540,800,4,1,385.0,0,1,0,0,none:retail,0
109,-78.4773,38.0782,-1,51,3,10700,1,1,357.0,0,1,0,0,none:retail,0
110,-78.48428,38.07041,-1,51,3,10700,2,1,215.0,0,1,0,0,none:retail,0
111,-78.48267,38.02642,-1,51,540,401,1,1,1497.0,0,1,0,0,none:retail,0
112,-78.47219,38.07899000000001,-1,51,3,10601,2,1,2167.0,0,1,0,0,none:retail,0
113,-78.44336,38.12733,-1,51,3,10300,3,1,1196.0,0,1,0,0,none:retail,0
114,-78.48855,38.06354,-1,51,540,800,4,1,136.0,0,1,0,0,none:retail,0
115,-78.4633699999999,38.02477,-1,51,540,302,2,1,0.0,0,1,0,1,none,0
116,-78.50031,38.05432,-1,51,540,800,4,1,385.0,0,1,0,0,none:retail,0
117,-78.50796,38.03611,-1,51,3,10903,2,1,1918.0,0,1,0,0,none:retail,0
118,-78.87071,37.89183,-1,51,125,950200,3,1,60.0,0,1,0,0,none:retail,0
119,-78.45644,38.03179,-1,51,3,10500,3,1,1218.0,0,1,0,0,none:retail,0
120,-78.48523,38.06891,-1,51,540,800,4,1,623.0,0,1,0,0,none:retail,0
121,-78.48774,38.06841,-1,51,3,10700,3,1,5000.0,0,1,0,0,none:retail,0
122,-78.49022,38.06335,-1,51,540,800,4,1,410.0,0,1,0,0,none:retail,0
123,-78.50083000000002,38.05459000000001,-1,51,540,700,3,1,178.0,0,1,0,0,none:retail,0
124,-78.49987,38.05385,-1,51,540,800,4,1,722.0,0,1,0,0,none:retail,0
125,-78.50016,38.05416,-1,51,540,800,4,1,722.0,0,1,0,0,none:retail,0
126,-78.50445,38.05085,-1,51,540,700,3,1,1249.0,0,1,0,0,none:retail,0
127,-78.50155,38.0360900000001,-1,51,540,202,3,1,0.0,0,1,0,1,none,0
128,-78.50453,38.04836,-1,51,540,700,3,1,203.0,0,1,0,0,none:retail,0
129,-78.50084,38.05127,-1,51,540,700,3,1,97.0,0,1,0,0,none:retail,0
130,-78.61744,38.05725,-1,51,3,11000,3,1,5000.0,0,1,0,0,none:retail,0
131,-78.45883,38.03577,-1,51,540,900,1,1,217.0,0,1,0,0,none:retail,0
132,-78.47954,38.03015,-1,51,540,1000,1,1,600.0,0,1,0,0,none:retail,0
133,-78.48758000000002,38.06362,-1,51,540,800,4,1,136.0,0,1,0,0,none:retail,0
134,-78.48333000000002,38.02406,-1,51,540,401,1,1,2792.0,0,1,0,0,none:retail,0
135,-77.22400999999998,38.92434,-1,51,59,480202,2,1,1003.0,0,1,0,0,none:retail,0
136,-78.49004000000002,38.03153,-1,51,540,1000,1,1,219.0,0,1,0,0,none:retail,0
137,-78.47881,38.07779,-1,51,3,10700,1,1,914.0,0,1,0,0,none:retail,0
138,-78.49325,38.03224,-1,51,540,202,1,1,960.0,0,1,0,0,none:retail,0
139,-78.4794,38.03014,-1,51,540,1000,1,1,600.0,0,1,0,0,none:retail,0
140,-78.48210999999998,38.03095,-1,51,540,1000,1,1,518.0,0,1,0,0,none:retail,0
141,-77.47675,37.57551,-1,51,760,50100,1,1,4977.0,0,1,0,0,none:retail,0
142,-78.48451,38.03604,-1,51,540,1000,2,1,3014.0,0,1,0,0,none:retail,0
143,-78.46871,38.02691,-1,51,540,302,1,1,2115.0,0,1,0,0,none:retail,0
144,-78.4827799999999,38.0299400000001,-1,51,540,1000,1,1,0.0,0,1,0,1,none,0
145,-78.4416,38.12882000000001,-1,51,3,10300,3,1,3679.0,0,1,0,0,none:retail,0
146,-77.22543,38.92373,-1,51,59,480202,2,1,510.0,0,1,0,0,none:retail,0
147,-78.4722,38.01523,-1,51,540,402,3,1,247.0,0,1,0,0,none:retail,0
148,-78.47137,38.01454,-1,51,540,402,3,1,411.0,0,1,0,0,none:retail,0
149,-78.47403,38.03128,-1,51,540,1000,3,1,261.0,0,1,0,0,none:retail,0
150,-78.49183000000002,38.06208,-1,51,540,800,4,1,181.0,0,1,0,0,none:retail,0
151,-78.48437,38.06493,-1,51,540,800,4,1,670.0,0,1,0,0,none:retail,0
152,-78.47426999999998,38.02921,-1,51,540,302,1,1,1254.0,0,1,0,0,none:retail,0
153,-78.47223000000002,38.01583,-1,51,540,402,3,1,150.0,0,1,0,0,none:retail,0
154,-78.50044,38.05331,-1,51,540,700,3,1,722.0,0,1,0,0,none:retail,0
155,-78.49676,38.05576,-1,51,540,800,4,1,142.0,0,1,0,0,none:retail,0
156,-78.48595,38.01791,-1,51,540,401,2,1,580.0,0,1,0,0,none:retail,0
157,-78.48044,38.03995,-1,51,540,1000,2,1,1256.0,0,1,0,0,none:retail,0
158,-78.54486,38.05083,-1,51,3,11000,2,1,1576.0,0,1,0,0,none:retail,0
159,-78.4887,38.03705,-1,51,540,202,1,1,786.0,0,1,0,0,none:retail,0
160,-78.47577,38.07992,-1,51,3,10700,1,1,2653.0,0,1,0,0,none:retail,0
161,-78.50018,38.05163,-1,51,540,700,2,1,287.0,0,1,0,0,none:retail,0
162,-78.46013,38.03539,-1,51,540,900,1,1,530.0,0,1,0,0,none:retail,0
163,-78.47858000000002,38.02972000000001,-1,51,540,1000,1,1,0.0,0,1,0,0,none,0
164,-78.45047,38.03374,-1,51,3,10500,2,1,641.0,0,1,0,0,none:retail,0
165,-78.47528,38.07906,-1,51,3,10601,3,1,2167.0,0,1,0,0,none:retail,0
166,-78.50414,38.04998,-1,51,540,700,3,1,1249.0,0,1,0,0,none:retail,0
167,-78.48418000000002,38.0701,-1,51,3,10601,3,1,152.0,0,1,0,0,none:retail,0
168,-78.49297,38.03218,-1,51,540,202,1,1,960.0,0,1,0,0,none:retail,0
169,-78.49087,38.03819,-1,51,540,202,1,1,946.0,0,1,0,0,none:retail,0
170,-78.48586999999998,38.03509,-1,51,540,1000,1,1,998.0,0,1,0,0,none:retail,0
171,-78.43181,38.14431,-1,51,3,10300,3,1,3242.0,0,1,0,0,none:retail,0
172,-78.47265,38.02322,-1,51,540,402,1,1,732.0,0,1,0,0,none:retail,0
173,-78.51389,38.00381,-1,51,3,11302,2,1,124.0,0,1,0,0,none:retail,0
174,-78.57226,37.94477,-1,51,3,11301,2,1,292.0,0,1,0,0,none:retail,0
175,-78.47292,38.02132,-1,51,540,402,1,1,568.0,0,1,0,0,none:retail,0
176,-78.51954,38.02598,-1,51,540,600,2,1,210.0,0,1,0,0,none:retail,0
177,-78.42026,38.1288,-1,51,3,10300,2,1,152.0,0,1,0,0,none:retail,0
178,-78.47329,38.02416,-1,51,540,402,1,1,427.0,0,1,0,0,none:retail,0
179,-78.49069,38.03208,-1,51,540,1000,1,1,184.0,0,1,0,0,none:retail,0
180,-78.46674,38.02609,-1,51,540,302,2,1,1223.0,0,1,0,0,none:retail,0
181,-78.4928,38.0603,-1,51,540,800,4,1,79.0,0,1,0,0,none:retail,0
182,-78.47933,38.03008,-1,51,540,1000,1,1,600.0,0,1,0,0,none:retail,0
183,-78.44255,38.0309,-1,51,3,10500,2,1,770.0,0,1,0,0,none:retail,0
184,-78.4594,38.03496,-1,51,540,302,2,1,530.0,0,1,0,0,none:retail,0
185,-78.48434,38.0308,-1,51,540,1000,1,1,658.0,0,1,0,0,none:retail,0
186,-78.44335,38.12735,-1,51,3,10300,3,1,1196.0,0,1,0,0,none:retail,0
187,-78.48612,38.03056,-1,51,540,1000,1,1,875.0,0,1,0,0,none:retail,0
188,-78.5147499999999,38.0221700000001,-1,51,540,502,3,1,0.0,0,1,0,1,none,0
189,-78.4752999999999,38.0185000000001,-1,51,540,402,2,1,0.0,0,1,0,1,none,0
190,-78.46991,38.0230500000001,-1,51,540,402,1,1,0.0,0,1,0,1,none,0
191,-78.51485,38.0208700000001,-1,51,540,502,3,1,0.0,0,1,0,1,none,0
192,-78.50832,38.03767,-1,51,540,700,4,1,0.0,0,1,0,1,none,0
193,-78.47695999999998,38.0253900000001,-1,51,540,402,2,1,0.0,0,1,0,1,none,0
194,-78.48436,38.0393100000001,-1,51,540,201,1,1,0.0,0,1,0,1,none,0
195,-78.47525,38.0174900000001,-1,51,540,402,2,1,0.0,0,1,0,1,none,0
196,-78.46956999999998,38.01849,-1,51,540,402,3,1,0.0,0,1,0,1,none,0
197,-78.47389,38.03047,-1,51,540,302,1,1,0.0,0,1,0,1,none,0
198,-78.47853,38.0410000000001,-1,51,540,1000,2,1,0.0,0,1,0,1,none,0
199,-78.48733,38.0350800000001,-1,51,540,202,1,1,0.0,0,1,0,1,none,0
200,-78.4907899999999,38.0296900000001,-1,51,540,501,1,1,0.0,0,1,0,1,none,0
201,-78.51111,38.0173800000001,-1,51,540,502,4,1,0.0,0,1,0,1,none,0
202,-78.47574,38.01872,-1,51,540,402,2,1,0.0,0,1,0,1,none,0
203,-78.45448,38.0256400000001,-1,51,540,302,2,1,0.0,0,1,0,1,none,0
204,-78.48062,38.0322600000001,-1,51,540,1000,1,1,0.0,0,1,0,1,none,0
205,-78.47946,38.03187,-1,51,540,1000,1,1,0.0,0,1,0,1,none,0
206,-78.47381,38.08717,-1,51,3,10800,1,1,1597.0,0,1,0,0,none:retail,0
207,-77.50596999999998,38.30356,-1,51,630,500,2,1,5000.0,0,1,0,0,none:retail,0
208,-78.47594000000002,38.07772,-1,51,3,10601,3,1,2167.0,0,1,0,0,none:retail,0
209,-78.47539,38.07536,-1,51,3,10601,3,1,1537.0,0,1,0,0,none:retail,0
210,-78.49051,38.00957,-1,51,3,11303,2,1,2261.0,0,1,0,0,none:retail,0
211,-78.48729,38.0638,-1,51,540,800,4,1,205.0,0,1,0,0,none:retail,0
212,-78.46614,38.03187,-1,51,540,302,1,1,316.0,0,1,0,0,none:retail,0
213,-78.48333000000002,38.02407,-1,51,540,401,1,1,2792.0,0,1,0,0,none:retail,0
214,-78.51325,38.06274000000001,-1,51,3,10800,5,1,634.0,0,1,0,0,none:retail,0
215,-77.23846,38.87354000000001,-1,51,59,461602,1,1,4742.0,0,1,0,0,none:retail,0
216,-78.49634,38.05631,-1,51,540,800,4,1,455.0,0,1,0,0,none:retail,0
217,-78.47732999999991,38.0303900000001,-1,51,540,1000,1,1,0.0,0,1,0,1,none,0
218,-78.48510999999998,38.03117,-1,51,540,1000,1,1,364.0,0,1,0,0,none:retail,0
219,-78.47735,38.02798,-1,51,540,1000,1,1,409.0,0,1,0,0,none:retail,0
220,-78.47908000000002,38.08483,-1,51,3,10700,1,1,1709.0,0,1,0,0,none:retail,0
221,-78.47995,38.04041,-1,51,540,1000,2,1,793.0,0,1,0,0,none:retail,0
222,-78.47887,38.04106,-1,51,540,1000,2,1,1150.0,0,1,0,0,none:retail,0
223,-78.4895,38.03765,-1,51,540,202,1,1,1396.0,0,1,0,0,none:retail,0
224,-78.50085,38.05407,-1,51,540,700,3,1,178.0,0,1,0,0,none:retail,0
225,-78.46992,38.023,-1,51,540,402,1,1,607.0,0,1,0,0,none:retail,0
226,-78.4647,38.03203,-1,51,540,302,1,1,970.0,0,1,0,0,none:retail,0
227,-78.47823000000002,38.04019,-1,51,540,1000,2,1,1526.0,0,1,0,0,none:retail,0
228,-78.48617,38.02841,-1,51,540,401,1,1,117.0,0,1,0,0,none:retail,0
229,-78.4979,38.05404,-1,51,540,700,2,1,314.0,0,1,0,0,none:retail,0
230,-77.50829,38.30218,-1,51,630,500,2,1,1486.0,0,1,0,0,none:retail,0
231,-78.48189,38.03093,-1,51,540,1000,1,1,417.0,0,1,0,0,none:retail,0
232,-78.49696999999998,38.00298,-1,51,3,11303,1,1,632.0,0,1,0,0,none:retail,0
233,-78.50473000000002,38.05056,-1,51,540,700,3,1,1249.0,0,1,0,0,none:retail,0
234,-78.47835,38.04089000000001,-1,51,540,1000,2,1,1452.0,0,1,0,0,none:retail,0
235,-78.50005,38.05404,-1,51,540,800,4,1,722.0,0,1,0,0,none:retail,0
236,-78.49252,38.03213,-1,51,540,202,1,1,960.0,0,1,0,0,none:retail,0
237,-78.50458,38.05072,-1,51,540,700,3,1,1249.0,0,1,0,0,none:retail,0
238,-78.48586999999998,38.03509,-1,51,540,1000,1,1,998.0,0,1,0,0,none:retail,0
239,-78.47236,38.07927,-1,51,3,10601,2,1,2167.0,0,1,0,0,none:retail,0
240,-78.47329,38.08768,-1,51,3,10800,1,1,1597.0,0,1,0,0,none:retail,0
241,-78.47431,38.08154,-1,51,3,10700,1,1,329.0,0,1,0,0,none:retail,0
242,-77.11991,38.84889,-1,51,59,451502,2,1,2397.0,0,1,0,0,none:retail,0
243,-78.4813,38.03075,-1,51,540,1000,1,1,250.0,0,1,0,0,none:retail,0
244,-78.47794,38.03099,-1,51,540,1000,1,1,902.0,0,1,0,0,none:retail,0
245,-78.47892,38.02995,-1,51,540,1000,1,1,600.0,0,1,0,0,none:retail,0
246,-78.47882,38.02932,-1,51,540,1000,1,1,600.0,0,1,0,0,none:retail,0
247,-78.4785,38.02986,-1,51,540,1000,1,1,600.0,0,1,0,0,none:retail,0
248,-78.50473000000002,38.05056,-1,51,540,700,3,1,1249.0,0,1,0,0,none:retail,0
249,-78.4901,38.03828,-1,51,540,201,2,1,94.0,0,1,0,0,none:retail,0
250,-78.49977,38.05375,-1,51,540,800,4,1,722.0,0,1,0,0,none:retail,0
251,-78.50010999999998,38.05457,-1,51,540,800,4,1,385.0,0,1,0,0,none:retail,0
252,-78.50086999999998,38.03531,-1,51,540,202,3,1,625.0,0,1,0,0,none:retail,0
253,-78.4846,38.03771,-1,51,540,201,2,1,1951.0,0,1,0,0,none:retail,0
254,-77.51944,37.57294,-1,51,760,50500,2,1,231.0,0,1,0,0,none:retail,0
255,-78.51038,38.04195,-1,51,540,700,4,1,408.0,0,1,0,0,none:retail,0
256,-78.48272,38.0377,-1,51,540,1000,2,1,320.0,0,1,0,0,none:retail,0
257,-78.73246999999998,38.04156,-1,51,3,11201,1,1,494.0,0,1,0,0,none:retail,0
258,-78.515321,38.04241,-1,51,540,700,4,107,0.0,911,0,0,0,education,0
259,-78.503428,38.035665,-1,51,3,10903,2,8921,0.0,0,0,23898,0,education,0
260,-78.48818100000003,38.063947,-1,51,540,800,4,6,0.0,0,0,77,0,education,0
261,-78.48656700000002,38.039854,-1,51,540,201,2,46,0.0,591,0,0,0,education,0
262,-78.48276,38.040712,-1,51,540,201,1,12,0.0,105,0,0,0,education,0
263,-78.482781,38.04102,-1,51,540,201,1,6,0.0,50,0,0,0,education,0
264,-78.50614,38.021879,-1,51,540,502,1,29,0.0,358,0,0,0,education,0
265,-78.497047,38.026162,-1,51,540,501,2,49,0.0,505,0,0,0,education,0
266,-78.46289,38.035466,-1,51,540,302,1,28,0.0,407,0,0,0,education,0
267,-78.476628,38.052405,-1,51,540,800,2,99,0.0,1196,0,0,0,education,0
268,-78.47093000000002,38.063507,-1,51,540,800,1,28,0.0,383,0,0,0,education,0
269,-78.503925,38.014072,-1,51,540,502,5,29,0.0,352,0,0,0,education,0
270,-78.48362900000002,38.053821,-1,51,540,700,1,51,0.0,568,0,0,0,education,0
271,-78.47455699999998,38.022765,-1,51,540,402,2,33,0.0,355,0,0,0,education,0
272,-78.496329,38.038462,-1,51,540,202,2,25,0.0,347,0,0,0,education,0
273,-77.072375,38.774392,-1,51,59,415100,2,173,0.0,2646,0,0,0,education,0
274,-78.47804999999991,38.08448,-1,51,3,10700,1,213,0.0,0,213,0,0,none:medical,0
275,-78.48585,38.0289100000001,-1,51,540,1000,1,362,0.0,0,362,0,0,none:medical,0
276,-78.50594,38.0491500000001,-1,51,540,700,3,121,0.0,0,121,0,0,none:medical,0
277,-78.4763799999999,38.03074,-1,51,540,1000,1,1643,0.0,0,1643,0,0,none:medical,0
278,-78.4947799999999,38.06983,-1,51,3,10700,3,417,0.0,0,417,0,0,none:care_facilitation,0
279,-78.50976,38.0416200000001,-1,51,540,700,4,224,0.0,0,224,0,0,none:medical,0
280,-78.41491999999991,38.1575300000001,-1,51,3,10201,1,2490,0.0,0,2490,0,0,none:military,0
281,-77.1016,38.7389000000001,-1,51,59,421600,1,5000,0.0,0,5000,0,0,none:medical,0
282,-78.47129,38.0575000000001,-1,51,540,800,2,118,0.0,0,118,0,0,none:medical,0
283,-78.51725,38.05024,-1,51,3,10901,1,5000,0.0,0,5000,0,0,none:care_facilitation,0
284,-78.4709599999999,38.03225,-1,51,540,302,1,542,0.0,0,542,0,0,none:medical,0
285,-78.4435599999999,38.13122,-1,51,3,10300,3,245,0.0,0,245,0,0,none:care_facilitation,0
286,-78.47431999999998,38.07431,-1,51,3,10601,3,3726,0.0,0,3726,0,0,none:care_facilitation,0
287,-78.5156699999999,38.00476,-1,51,3,11302,2,5000,0.0,0,5000,0,0,none:government,0
288,-78.4936,38.0059600000001,-1,51,3,11303,1,3229,0.0,0,3229,0,0,none:government,0
289,-78.41491999999991,38.1575300000001,-1,51,3,10201,1,2490,0.0,0,2490,0,0,none:military,0
290,-78.86905,37.7604000000001,-1,51,125,950100,2,217,0.0,0,217,0,0,none:government,0
291,-78.47261,38.0593000000001,-1,51,540,800,2,5000,0.0,0,5000,0,0,none:medical,0
292,-78.50225999999998,38.04997,-1,51,540,700,3,67,0.0,0,67,0,0,none:government,0
293,-78.45849,38.06008,-1,51,3,10602,2,910,0.0,0,910,0,0,none:medical,0
294,-78.4998399999999,38.0325700000001,-1,51,540,600,1,2579,0.0,0,2579,0,0,none:medical,0
295,-78.43911,38.1488400000001,-1,51,3,10300,3,482,0.0,0,482,0,0,none:medical,0
296,-78.45478,38.08403,-1,51,3,10601,2,2671,0.0,0,2671,0,0,none:medical,0
297,-78.48455,38.0360200000001,-1,51,540,1000,2,334,0.0,0,334,0,0,none:medical,0
